OID_,Shape_Length,Shape_Area,Park Majority,Impervious_majority,Water_majority,Low_permeability,elevation_min
98,2000,250000,1,1,1,0,-3.693815708
99,1729.934719,143725.3608,1,1,1,1,-0.65994525
100,1729.93949,143729.2929,0,1,1,1,27.21406174
101,2000,250000,1,1,1,1,21.61020851
102,2000,250000,0,1,1,1,72.49262238
103,2000,250000,1,1,1,1,-0.352364063
104,134.9335096,780.9577221,1,1,1,1,52.94944763
105,2000,250000,1,1,1,1,92.96018982
106,2000,250000,1,1,0,1,33.14676666
107,2000,250000,0,1,1,1,0
108,2000,250000,0,1,1,1,14.41962147
109,2000,250000,1,1,1,1,4.638213634
110,2000,250000,0,1,1,1,68.05441284
111,1897.219824,234607.4655,1,1,1,1,9.196557045
112,2000,250000,0,1,1,1,25.43883705
113,1728.060082,142245.0258,0,1,1,1,1.83193624
114,2000,250000,1,1,1,1,65.10783386
115,2000,250000,1,1,1,1,84.16107941
116,142.4645838,870.5660338,1,1,1,1,38.7959137
117,2000,250000,0,1,1,1,0.746011674
118,2000,250000,1,1,1,1,67.75318909
119,2000,250000,0,1,1,1,0
120,2000,250000,1,1,1,1,76.37866211
121,2000,250000,0,1,1,1,-1.891471148
122,2000,250000,0,1,1,1,43.27000046
123,2000,250000,1,1,1,1,-0.680000007
124,2000,250000,0,1,1,1,36.69716263
125,2000,250000,0,1,1,1,-0.670000017
126,2000,250000,0,1,1,1,0.986922145
127,2000,250000,1,1,1,1,16.65293312
128,2000,250000,1,1,1,1,43.59876633
129,123.836429,657.7872535,0,1,1,1,-0.479999989
130,2000,250000,0,1,1,1,82.29239655
131,2000,250000,1,1,1,1,42.21411133
132,2000,250000,0,1,1,1,20.79645538
133,2000,250000,1,1,1,0,-0.680000007
134,2000,250000,1,1,1,1,-0.540000021
135,2000,250000,1,1,1,1,16.81284714
136,2000,250000,0,1,1,1,5.085399151
137,1998.394217,249996.1307,0,1,1,1,-0.589999974
138,2000,250000,0,1,1,1,-0.679722428
139,2000,250000,0,1,1,1,27.49660873
140,2000,250000,0,1,1,1,49.05776978
141,2000,250000,1,1,1,0,17.80107498
142,1165.055159,33755.7275,0,1,1,0,50.89090729
143,2000,250000,1,1,1,1,-0.241729647
144,2000,250000,0,1,1,0,48.93491745
145,2000,250000,1,1,1,0,-0.119118154
146,2000,250000,1,1,1,0,-0.680000007
147,2000,250000,1,1,1,1,-0.540000021
148,2000,250000,0,1,1,1,2.115759134
149,2000,250000,0,1,1,1,70.13206482
150,2000,250000,1,1,1,0,49.04475784
151,1787.972584,159548.5108,0,1,1,1,-0.680000007
152,2000,250000,1,1,1,1,95.14955139
153,230.671702,2741.096955,0,1,1,0,10.89153099
154,829.1909942,22668.28192,1,1,1,1,-0.680000007
155,2049.881953,199408.7015,0,1,1,0,3.139405966
156,2000,250000,1,1,1,1,1.759090066
157,2000,250000,0,1,1,1,87.43235779
158,2000,250000,0,1,1,0,11.80684471
159,1690.177509,126727.805,1,1,1,1,0
160,1897.064649,234560.9519,0,1,1,1,38.2713623
161,2000,250000,0,1,1,0,25.58302116
162,2000,250000,1,1,1,0,-0.345318705
163,2000,250000,0,1,1,1,10.95909214
164,2000,250000,0,1,1,1,8.571365356
165,2000,250000,0,1,1,1,53.59977722
166,2000,250000,0,1,1,0,54.72455597
167,1112.128017,53051.55996,1,1,1,1,-0.489279926
168,2000,250000,0,1,1,1,6.99856329
169,2000,250000,1,1,1,1,-0.279814899
170,2000,250000,1,1,1,1,0.298728913
171,1728.764871,142802.8409,1,1,1,1,59.87810516
172,2000,250000,1,1,1,1,69.71798706
173,2000,250000,0,1,1,1,1.881626368
174,2000,250000,0,1,1,1,79.09156799
175,2000,250000,1,1,1,0,0
176,2000,250000,0,1,1,1,54.2469635
177,307.7367455,1576.741851,1,1,1,0,-0.680000007
178,2000,250000,1,1,1,1,59.90984344
179,2000,250000,1,1,1,1,-0.519999981
180,2000,250000,0,1,1,1,25.01650047
181,2000,250000,1,1,1,1,-0.680000007
182,2000,250000,0,1,1,1,94.40370178
183,1730.5268,144191.0111,1,1,1,0,80.40419769
184,2000,250000,1,1,1,1,72.72762299
185,2000,250000,1,1,1,1,-0.680000007
186,1896.289156,234327.4466,0,1,1,1,43.6232605
187,2000,250000,1,1,1,1,10.08994961
188,74.68611124,239.2586147,0,1,1,1,5.937289715
189,2000,250000,1,1,1,1,50.49898911
190,2000,250000,1,1,1,1,4.657388687
191,2000,250000,1,1,1,1,7.199948311
192,2000,250000,0,1,1,1,42.31464005
193,819.6288603,32133.32863,0,1,1,1,6.287680626
194,2000,250000,0,1,1,1,6.029433727
195,2000,250000,0,1,1,1,-0.680000007
196,2000,250000,0,1,1,1,54.96943665
197,2000,250000,0,1,1,1,53.40119934
198,2000,250000,0,1,1,1,51.15319824
199,2000,250000,0,1,1,1,26.87085342
200,2000,250000,0,1,1,1,-0.680000007
201,2000,250000,0,1,1,1,26.98888016
202,2000,250000,0,1,1,1,9.484272003
203,2000,250000,0,1,1,0,55.19422531
204,2000,250000,0,1,1,0,-0.493622929
205,2000,250000,0,1,1,1,-0.589999974
206,2000,250000,0,1,1,1,15.56502628
207,2000,250000,0,1,1,1,16.17664146
208,2000,250000,0,1,1,1,40.96379471
209,2000,250000,0,1,1,0,8.519357681
